market,link,price,name,date,datetime,stock
magi,/items/2108917951,100,さぎょういん U 0,2022-11-07,2022-11-07 08:11:49,1
magi,/items/1244749421,120,さぎょういん U 0,2022-11-07,2022-11-07 08:11:49,1
magi,/items/1573749970,100,さぎょういん U 0,2022-11-07,2022-11-07 08:11:49,1
magi,/items/686342717,100,さぎょういん U 0,2022-11-07,2022-11-07 08:11:49,1
magi,/items/416187150,100,さぎょういん U 0,2022-11-07,2022-11-07 08:11:49,1
magi,/items/77574507,50,さぎょういん U 0,2022-11-07,2022-11-07 08:11:49,4
magi,/items/1020234571,150,さぎょういん U 0,2022-11-07,2022-11-07 08:11:49,1
magi,/items/331595218,65,1枚65円 さぎょう,2022-11-07,2022-11-07 08:11:49,1
magi,/items/1562554664,480,さぎょういん U 0,2022-11-07,2022-11-07 08:11:49,1
magi,/items/1798121841,480,さぎょういん U 0,2022-11-07,2022-11-07 08:11:49,1
magi,/items/1108761423,200,さぎょういん U 0,2022-11-07,2022-11-07 08:11:49,1
magi,/items/953983665,200,さぎょういん U 0,2022-11-07,2022-11-07 08:11:49,1
