market,link,price,name,date,datetime,stock
magi,/items/1839240736,120.0,2枚目以降100円引,2023-01-24,2023-01-24 07:42:24,1.0
magi,/items/23232886,20.0,8枚セット/LIG ,2023-01-24,2023-01-24 07:42:24,8.0
magi,/items/2095780901,120.0,2枚目以降100円引,2023-01-24,2023-01-24 07:42:24,1.0
hareruya2,https://www.hareruya2.com/product/20600,50.0,基本雷エネルギー:2,2023-01-24,2023-01-24 07:42:23,36.0
hareruya2,https://www.hareruya2.com/product/21433,50.0,基本雷エネルギー(C,2023-01-24,2023-01-24 07:42:23,91.0
hareruya2,https://www.hareruya2.com/product/22007,50.0,基本雷エネルギー:後,2023-01-24,2023-01-24 07:42:23,22.0
hareruya2,https://www.hareruya2.com/product/17581,50.0,基本雷エネルギー:前,2023-01-24,2023-01-24 07:42:23,159.0
hareruya2,https://www.hareruya2.com/product/20957,50.0,基本雷エネルギー:後,2023-01-24,2023-01-24 07:42:23,20.0
hareruya2,https://www.hareruya2.com/product/13459,50.0,基本雷エネルギー:サ,2023-01-24,2023-01-24 07:42:23,4.0
hareruya2,https://www.hareruya2.com/product/20939,100.0,基本雷エネルギー:ミ,2023-01-24,2023-01-24 07:42:23,1.0
hareruya2,https://www.hareruya2.com/product/24247,50.0,基本雷エネルギー(-,2023-01-24,2023-01-24 07:42:23,89.0
hareruya2,https://www.hareruya2.com/product/25848,50.0,基本雷エネルギー(-,2023-01-24,2023-01-24 07:42:23,44.0
hareruya2,https://www.hareruya2.com/product/22903,150.0,基本雷エネルギー:2,2023-01-24,2023-01-24 07:42:23,267.0
hareruya2,https://www.hareruya2.com/product/26892,50.0,基本雷エネルギー(D,2023-01-24,2023-01-24 07:42:23,66.0
hareruya2,https://www.hareruya2.com/product/21609,100.0,基本雷エネルギー:ミ,2023-01-24,2023-01-24 07:42:23,260.0
magi,/items/23232886,20.0,8枚セット/LIG ,2023-01-23,2023-01-23 07:43:12,8.0
magi,/items/1839240736,120.0,2枚目以降100円引,2023-01-23,2023-01-23 07:43:12,1.0
magi,/items/2095780901,120.0,2枚目以降100円引,2023-01-23,2023-01-23 07:43:12,1.0
hareruya2,https://www.hareruya2.com/product/22903,150.0,基本雷エネルギー:2,2023-01-23,2023-01-23 07:43:10,267.0
