market,link,price,name,date,datetime,stock
magi,/items/1419358368,3600,マリィのプライド(S,2022-11-21,2022-11-21 06:51:55,1
magi,/items/1966590893,59800,PSA10 マリィの,2022-11-21,2022-11-21 06:51:55,1
magi,/items/1045473878,23000,マリィのプライド(S,2022-11-21,2022-11-21 06:51:55,1
magi,/items/1922754449,73290,〔BGS9.5鑑定済,2022-11-21,2022-11-21 06:51:55,1
magi,/items/640542651,40000,マリィのプライド(S,2022-11-21,2022-11-21 06:51:55,1
magi,/items/577176388,37500,psa9 マリィのプ,2022-11-21,2022-11-21 06:51:55,1
magi,/items/456132080,92000,マリィのプライド(S,2022-11-21,2022-11-21 06:51:55,1
magi,/items/338892930,31000,（微キズ）マリィのプ,2022-11-21,2022-11-21 06:51:55,1
magi,/items/1200780480,39999,マリィのプライド(S,2022-11-21,2022-11-21 06:51:55,1
magi,/items/1460534722,105000,【PSA10】【おま,2022-11-21,2022-11-21 06:51:55,1
magi,/items/2067360716,35000,マリィのプライド(S,2022-11-21,2022-11-21 06:51:55,1
magi,/items/1982293094,33333,マリィのプライド(S,2022-11-21,2022-11-21 06:51:55,1
magi,/items/863443996,37000,マリィのプライド(S,2022-11-21,2022-11-21 06:51:55,1
magi,/items/207827974,38000,マリィのプライド(S,2022-11-21,2022-11-21 06:51:55,1
magi,/items/2004299270,35600,マリィのプライド(S,2022-11-21,2022-11-21 06:51:55,1
magi,/items/1272770751,32340,マリィのプライド【S,2022-11-21,2022-11-21 06:51:55,1
magi,/items/1044665931,35000,マリィのプライド(S,2022-11-21,2022-11-21 06:51:55,1
