market,link,price,name,date,datetime,stock
magi,/items/23232886,20.0,8枚セット/LIG ,2023-01-19,2023-01-19 07:08:50,8.0
magi,/items/2095780901,120.0,2枚目以降100円引,2023-01-19,2023-01-19 07:08:50,1.0
magi,/items/1839240736,120.0,2枚目以降100円引,2023-01-19,2023-01-19 07:08:50,1.0
hareruya2,https://www.hareruya2.com/product/24247,50.0,基本雷エネルギー(-,2023-01-19,2023-01-19 07:08:48,89.0
hareruya2,https://www.hareruya2.com/product/21609,100.0,基本雷エネルギー:ミ,2023-01-19,2023-01-19 07:08:48,275.0
hareruya2,https://www.hareruya2.com/product/22903,150.0,基本雷エネルギー:2,2023-01-19,2023-01-19 07:08:48,267.0
hareruya2,https://www.hareruya2.com/product/22007,50.0,基本雷エネルギー:後,2023-01-19,2023-01-19 07:08:48,23.0
hareruya2,https://www.hareruya2.com/product/17581,50.0,基本雷エネルギー:前,2023-01-19,2023-01-19 07:08:48,159.0
hareruya2,https://www.hareruya2.com/product/20957,50.0,基本雷エネルギー:後,2023-01-19,2023-01-19 07:08:48,20.0
hareruya2,https://www.hareruya2.com/product/13459,50.0,基本雷エネルギー:サ,2023-01-19,2023-01-19 07:08:48,4.0
hareruya2,https://www.hareruya2.com/product/20939,100.0,基本雷エネルギー:ミ,2023-01-19,2023-01-19 07:08:48,1.0
hareruya2,https://www.hareruya2.com/product/20600,50.0,基本雷エネルギー:2,2023-01-19,2023-01-19 07:08:48,37.0
hareruya2,https://www.hareruya2.com/product/21433,50.0,基本雷エネルギー(C,2023-01-19,2023-01-19 07:08:48,91.0
hareruya2,https://www.hareruya2.com/product/25848,50.0,基本雷エネルギー(-,2023-01-19,2023-01-19 07:08:48,56.0
magi,/items/2095780901,120.0,2枚目以降100円引,2023-01-18,2023-01-18 07:12:53,1.0
magi,/items/23232886,20.0,8枚セット/LIG ,2023-01-18,2023-01-18 07:12:53,8.0
magi,/items/1839240736,120.0,2枚目以降100円引,2023-01-18,2023-01-18 07:12:53,1.0
hareruya2,https://www.hareruya2.com/product/25848,50.0,基本雷エネルギー(-,2023-01-18,2023-01-18 07:12:51,56.0
hareruya2,https://www.hareruya2.com/product/24247,50.0,基本雷エネルギー(-,2023-01-18,2023-01-18 07:12:51,89.0
